t lambda v x y z
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.005000 0.000008 32.994441 0.000764 0.000764 0.000849
0.010000 0.000034 65.988881 0.003058 0.003058 0.003397
0.015000 0.000076 98.983322 0.006880 0.006880 0.007644
0.020000 0.000136 131.977762 0.012230 0.012230 0.013589
0.025000 0.000212 164.972203 0.019110 0.019110 0.021233
0.030000 0.000306 197.966643 0.027518 0.027518 0.030576
0.035000 0.000416 230.961084 0.037456 0.037456 0.041617
0.040000 0.000544 263.955524 0.048922 0.048922 0.054357
0.045000 0.000688 296.949965 0.061917 0.061917 0.068796
0.050000 0.000849 329.944405 0.076440 0.076440 0.084933
0.055000 0.001028 362.938846 0.092493 0.092493 0.102770
0.060000 0.001223 395.933287 0.110074 0.110074 0.122304
0.065000 0.001435 428.927727 0.129184 0.129184 0.143538
0.070000 0.001665 461.922168 0.149823 0.149823 0.166470
0.075000 0.001911 494.916608 0.171990 0.171990 0.191100
0.080000 0.002174 527.911049 0.195687 0.195687 0.217430
0.085000 0.002455 560.905489 0.220912 0.220912 0.245458
0.090000 0.002752 593.899930 0.247666 0.247666 0.275184
0.095000 0.003066 626.894370 0.275949 0.275949 0.306610
0.100000 0.003397 659.888811 0.305761 0.305761 0.339734
0.105000 0.003746 692.883251 0.337101 0.337101 0.374557
0.110000 0.004111 725.877692 0.369970 0.369970 0.411078
0.115000 0.004493 758.872133 0.404368 0.404368 0.449298
0.120000 0.004892 791.866573 0.440295 0.440295 0.489217
0.125000 0.005308 824.861014 0.477751 0.477751 0.530834
0.130000 0.005742 857.855454 0.516735 0.516735 0.574150
0.135000 0.006192 890.849895 0.557249 0.557249 0.619165
0.140000 0.006659 923.844335 0.599291 0.599291 0.665878
0.145000 0.007143 956.838776 0.642861 0.642861 0.714291
0.150000 0.007644 989.833216 0.687961 0.687961 0.764401
0.155000 0.008158 999.831532 0.734218 0.734218 0.815798
0.160000 0.008673 999.831532 0.780546 0.780546 0.867273
0.165000 0.009187 999.831532 0.826873 0.826873 0.918748
0.170000 0.009702 999.831532 0.873200 0.873200 0.970223
0.175000 0.010217 999.831532 0.919528 0.919528 1.021697
0.180000 0.010732 999.831532 0.965855 0.965855 1.073172
0.185000 0.011246 999.831532 1.012182 1.012182 1.124647
0.190000 0.011761 999.831532 1.058510 1.058510 1.176122
0.195000 0.012276 999.831532 1.104837 1.104837 1.227597
0.200000 0.012791 999.831532 1.151164 1.151164 1.279072
0.205000 0.013305 999.831532 1.197492 1.197492 1.330546
0.210000 0.013820 999.831532 1.243819 1.243819 1.382021
0.215000 0.014335 999.831532 1.290146 1.290146 1.433496
0.220000 0.014850 999.831532 1.336474 1.336474 1.484971
0.225000 0.015364 999.831532 1.382801 1.382801 1.536446
0.230000 0.015879 999.831532 1.429129 1.429129 1.587921
0.235000 0.016394 999.831532 1.475456 1.475456 1.639395
0.240000 0.016909 999.831532 1.521783 1.521783 1.690870
0.245000 0.017423 999.831532 1.568111 1.568111 1.742345
0.250000 0.017938 999.831532 1.614438 1.614438 1.793820
0.255000 0.018453 999.831532 1.660765 1.660765 1.845295
0.260000 0.018968 999.831532 1.707093 1.707093 1.896770
0.265000 0.019482 999.831532 1.753420 1.753420 1.948244
0.270000 0.019997 999.831532 1.799747 1.799747 1.999719
0.275000 0.020512 999.831532 1.846075 1.846075 2.051194
0.280000 0.021027 999.831532 1.892402 1.892402 2.102669
0.285000 0.021541 999.831532 1.938729 1.938729 2.154144
0.290000 0.022056 999.831532 1.985057 1.985057 2.205619
0.295000 0.022571 999.831532 2.031384 2.031384 2.257093
0.300000 0.023086 999.831532 2.077711 2.077711 2.308568
0.305000 0.023600 999.831532 2.124039 2.124039 2.360043
0.310000 0.024115 999.831532 2.170366 2.170366 2.411518
0.315000 0.024630 999.831532 2.216693 2.216693 2.462993
0.320000 0.025145 999.831532 2.263021 2.263021 2.514468
0.325000 0.025659 999.831532 2.309348 2.309348 2.565942
0.330000 0.026174 999.831532 2.355675 2.355675 2.617417
0.335000 0.026689 999.831532 2.402003 2.402003 2.668892
0.340000 0.027204 999.831532 2.448330 2.448330 2.720367
0.345000 0.027718 999.831532 2.494658 2.494658 2.771842
0.350000 0.028233 999.831532 2.540985 2.540985 2.823317
0.355000 0.028748 999.831532 2.587312 2.587312 2.874791
0.360000 0.029263 999.831532 2.633640 2.633640 2.926266
0.365000 0.029777 999.831532 2.679967 2.679967 2.977741
0.370000 0.030292 999.831532 2.726294 2.726294 3.029216
0.375000 0.030807 999.831532 2.772622 2.772622 3.080691
0.380000 0.031322 999.831532 2.818949 2.818949 3.132166
0.385000 0.031836 999.831532 2.865276 2.865276 3.183640
0.390000 0.032351 999.831532 2.911604 2.911604 3.235115
0.395000 0.032866 999.831532 2.957931 2.957931 3.286590
0.400000 0.033381 999.831532 3.004258 3.004258 3.338065
0.405000 0.033895 999.831532 3.050586 3.050586 3.389540
0.410000 0.034410 999.831532 3.096913 3.096913 3.441015
0.415000 0.034925 999.831532 3.143240 3.143240 3.492489
0.420000 0.035440 999.831532 3.189568 3.189568 3.543964
0.425000 0.035954 999.831532 3.235895 3.235895 3.595439
0.430000 0.036469 999.831532 3.282222 3.282222 3.646914
0.435000 0.036984 999.831532 3.328550 3.328550 3.698389
0.440000 0.037499 999.831532 3.374877 3.374877 3.749864
0.445000 0.038013 999.831532 3.421205 3.421205 3.801338
0.450000 0.038528 999.831532 3.467532 3.467532 3.852813
0.455000 0.039043 999.831532 3.513859 3.513859 3.904288
0.460000 0.039558 999.831532 3.560187 3.560187 3.955763
