t q x v p i d
0.859592 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.869629 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.879710 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.889832 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.899869 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.909951 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.920046 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.930084 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.940181 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.950217 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.960274 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.970338 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.980384 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.990476 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.000553 20.000000 0.000000 0.000000 0.500000 0.000000 49.617942
1.010653 20.000000 0.000244 0.048628 0.499756 0.000000 -0.024191
1.020703 20.000000 0.000973 0.096641 0.499027 0.000000 -0.072513
1.030733 20.000000 0.002180 0.144190 0.497820 0.000000 -0.120295
1.040828 20.000000 0.003874 0.191678 0.496126 0.000000 -0.167814
1.050914 20.000000 0.006043 0.238757 0.493957 0.000000 -0.215100
1.061013 20.000000 0.008689 0.285532 0.491311 0.000000 -0.262028
1.071042 20.000000 0.011783 0.331625 0.488217 0.000000 -0.308462
1.081117 20.000000 0.015354 0.377572 0.484646 0.000000 -0.354483
1.091184 20.000000 0.019384 0.423129 0.480616 0.000000 -0.400236
1.101251 20.000000 0.023870 0.468334 0.476130 0.000000 -0.445616
1.111319 20.000000 0.028809 0.513195 0.471191 0.000000 -0.490651
1.121350 20.000000 0.034179 0.557547 0.465821 0.000000 -0.535258
1.131432 20.000000 0.040022 0.601781 0.459978 0.000000 -0.579552
1.141546 20.000000 0.046330 0.645812 0.453670 0.000000 -0.623685
1.151606 20.000000 0.053044 0.689269 0.446956 0.000000 -0.667431
1.161672 20.000000 0.060198 0.732417 0.439802 0.000000 -0.710734
1.171692 20.000000 0.067750 0.775037 0.432250 0.000000 -0.753619
1.181831 20.000000 0.075823 0.817831 0.424177 0.000000 -0.796327
1.191881 20.000000 0.084253 0.859920 0.415747 0.000000 -0.838769
1.201959 20.000000 0.093129 0.901801 0.406871 0.000000 -0.880756
1.211988 20.000000 0.102380 0.943158 0.397620 0.000000 -0.922374
1.222083 20.000000 0.112108 0.984466 0.387892 0.000000 -0.963708
1.232156 20.000000 0.122230 1.025365 0.377770 0.000000 -1.004810
1.242216 20.000000 0.132748 1.065897 0.367252 0.000000 -1.045528
1.252307 20.000000 0.143706 1.106239 0.356294 0.000000 -1.085965
1.262355 20.000000 0.155021 1.146099 0.344979 0.000000 -1.126066
1.272406 20.000000 0.166738 1.185665 0.333262 0.000000 -1.165778
1.282472 20.000000 0.178870 1.224984 0.321130 0.000000 -1.205222
1.292585 20.000000 0.191456 1.264181 0.308544 0.000000 -1.244484
1.302666 20.000000 0.204394 1.302952 0.295606 0.000000 -1.283469
1.312716 20.000000 0.217681 1.341306 0.282319 0.000000 -1.322031
1.322783 20.000000 0.231375 1.379428 0.268625 0.000000 -1.360270
1.332849 20.000000 0.245449 1.417252 0.254551 0.000000 -1.398245
1.342928 0.903729 0.259922 1.454833 0.240078 0.000000 -1.435948
1.353036 -19.562745 0.274582 1.445764 0.225418 0.000000 -1.450322
1.363127 -20.000000 0.288877 1.387063 0.211123 0.000000 -1.416561
1.373183 -20.000000 0.302529 1.327958 0.197471 0.000000 -1.357660
1.383250 -20.000000 0.315604 1.269244 0.184396 0.000000 -1.298751
1.393321 -20.000000 0.328094 1.210961 0.171906 0.000000 -1.240251
1.403421 -20.000000 0.340034 1.152961 0.159966 0.000000 -1.182107
1.413467 -20.000000 0.351330 1.095717 0.148670 0.000000 -1.124485
1.423573 -20.000000 0.362116 1.038576 0.137884 0.000000 -1.067292
1.433648 -20.000000 0.372297 0.982050 0.127703 0.000000 -1.010457
1.443703 -20.000000 0.381891 0.926072 0.118109 0.000000 -0.954204
1.453733 -20.000000 0.390903 0.870662 0.109097 0.000000 -0.898510
1.463817 -20.000000 0.399406 0.815383 0.100594 0.000000 -0.843164
1.473897 -20.000000 0.407350 0.760554 0.092650 0.000000 -0.788108
1.483923 -20.000000 0.414705 0.706438 0.085295 0.000000 -0.733637
1.494029 -20.000000 0.421572 0.652311 0.078428 0.000000 -0.679515
1.504127 -20.000000 0.427890 0.598645 0.072110 0.000000 -0.625618
1.514163 -20.000000 0.433634 0.545721 0.066366 0.000000 -0.572322
1.524210 -20.000000 0.438854 0.493146 0.061146 0.000000 -0.519572
1.534294 -20.000000 0.443564 0.440785 0.056436 0.000000 -0.467102
1.544372 -20.000000 0.447746 0.388859 0.052254 0.000000 -0.414957
1.554426 -14.336489 0.451398 0.337456 0.048602 0.000000 -0.363292
1.564546 -9.305855 0.454625 0.299913 0.045375 0.000000 -0.318782
1.574606 -6.531461 0.457517 0.275064 0.042483 0.000000 -0.287553
1.584674 -5.462859 0.460197 0.257111 0.039803 0.000000 -0.266134
1.594731 -5.157103 0.462706 0.241904 0.037294 0.000000 -0.249547
1.604807 -5.036682 0.465072 0.227527 0.034928 0.000000 -0.234752
1.614869 -4.866768 0.467291 0.213573 0.032709 0.000000 -0.220586
1.625001 -4.633065 0.469387 0.200044 0.030613 0.000000 -0.206843
1.635060 -4.341854 0.471335 0.187283 0.028665 0.000000 -0.193696
1.645133 -4.059722 0.473162 0.175309 0.026838 0.000000 -0.181327
1.655189 -3.792410 0.474869 0.164130 0.025131 0.000000 -0.169748
1.665268 -3.549369 0.476471 0.153661 0.023529 0.000000 -0.158922
1.675387 -3.324733 0.477976 0.143823 0.022024 0.000000 -0.148767
1.685446 -3.105868 0.479377 0.134664 0.020623 0.000000 -0.139267
1.695507 -2.907897 0.480689 0.126103 0.019311 0.000000 -0.130405
1.705579 -2.725049 0.481919 0.118079 0.018081 0.000000 -0.122112
1.715636 -2.551599 0.483069 0.110572 0.016931 0.000000 -0.114345
1.725737 -2.392239 0.484150 0.103511 0.015850 0.000000 -0.107059
1.735817 -2.237866 0.485161 0.096907 0.014839 0.000000 -0.100226
1.745896 -2.094253 0.486106 0.090729 0.013894 0.000000 -0.093833
1.755962 -1.960015 0.486991 0.084954 0.013009 0.000000 -0.087856
1.766024 -1.835404 0.487818 0.079551 0.012182 0.000000 -0.082266
1.776148 -1.721611 0.488598 0.074461 0.011402 0.000000 -0.077019
1.786210 -1.608576 0.489324 0.069717 0.010676 0.000000 -0.072101
1.796277 -1.505911 0.490003 0.065280 0.009997 0.000000 -0.067510
1.806347 -1.410597 0.490640 0.061126 0.009360 0.000000 -0.063214
1.816413 -1.321049 0.491236 0.057236 0.008764 0.000000 -0.059191
1.826479 -1.237169 0.491794 0.053594 0.008206 0.000000 -0.055424
1.836558 -1.158867 0.492317 0.050178 0.007683 0.000000 -0.051895
1.846622 -1.084542 0.492806 0.046983 0.007194 0.000000 -0.048589
1.856696 -1.015663 0.493264 0.043991 0.006736 0.000000 -0.045495
1.866744 -0.950380 0.493692 0.041195 0.006308 0.000000 -0.042600
1.876837 -0.891073 0.494095 0.038567 0.005905 0.000000 -0.039888
1.886868 -0.833004 0.494469 0.036119 0.005531 0.000000 -0.037350
1.896956 -0.781209 0.494822 0.033817 0.005178 0.000000 -0.034974
1.906986 -0.730475 0.495151 0.031671 0.004849 0.000000 -0.032749
