n type t_tot t_blk lambda s feed x y z
10 0 0.006000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
10 0 0.012000 0.006000 0.000000 0.000000 0.000000 0.952836 -91.785954 -0.991661
10 0 0.018000 0.012000 0.000000 0.000000 0.000000 0.952836 -91.785954 -0.991661
10 0 0.024000 0.018000 0.000000 0.000000 0.000000 0.957049 -92.456626 -0.992406
10 0 0.030000 0.024000 0.000000 0.000000 0.000000 0.957049 -92.456626 -0.992406
10 0 0.036000 0.030000 0.000000 0.000000 0.000000 0.960897 -93.038319 -0.993075
10 0 0.042000 0.036000 0.000000 0.000000 0.000000 0.960897 -93.038319 -0.993075
10 0 0.048000 0.042000 0.000000 0.000000 0.000000 0.964391 -93.557111 -0.993682
10 0 0.054000 0.048000 0.000000 0.000000 0.000000 0.964391 -93.557111 -0.993682
10 0 0.060000 0.054000 0.000000 0.000000 0.000000 0.967568 -94.046364 -0.994241
10 0 0.066000 0.060000 0.000000 0.000000 0.000000 0.967568 -94.046364 -0.994241
10 0 0.072000 0.066000 0.000000 0.000000 0.000000 0.970466 -94.496399 -0.994751
10 0 0.078000 0.072000 0.000000 0.000000 0.000000 0.970466 -94.496399 -0.994751
10 0 0.084000 0.078000 0.000000 0.000000 0.000000 0.973108 -94.896636 -0.995211
10 0 0.090000 0.084000 0.000000 0.000000 0.000000 0.973108 -94.896636 -0.995211
10 0 0.096000 0.090000 0.000000 0.000000 0.000000 0.975511 -95.259482 -0.995631
10 0 0.102000 0.096000 0.000000 0.000000 0.000000 0.975511 -95.259482 -0.995631
10 0 0.108000 0.102000 0.000000 0.000000 0.000000 0.977698 -95.595280 -0.996014
10 0 0.114000 0.108000 0.000000 0.000000 0.000000 0.977698 -95.595280 -0.996014
10 0 0.120000 0.114000 0.000000 0.000000 0.000000 0.979691 -95.901491 -0.996364
10 0 0.126000 0.120000 0.000000 0.000000 0.000000 0.979691 -95.901491 -0.996364
10 0 0.132000 0.126000 0.000000 0.000000 0.000000 0.981507 -96.177364 -0.996681
10 0 0.138000 0.132000 0.000000 0.000000 0.000000 0.981507 -96.177364 -0.996681
10 0 0.144000 0.138000 0.000000 0.000000 0.000000 0.983159 -96.428615 -0.996970
10 0 0.150000 0.144000 0.000000 0.000000 0.000000 0.983159 -96.428615 -0.996970
10 0 0.156000 0.150000 0.000000 0.000000 0.000000 0.984664 -96.659036 -0.997233
10 0 0.162000 0.156000 0.000000 0.000000 0.000000 0.984664 -96.659036 -0.997233
10 0 0.168000 0.162000 0.000000 0.000000 0.000000 0.986034 -96.868709 -0.997473
10 0 0.174000 0.168000 0.000000 0.000000 0.000000 0.986034 -96.868709 -0.997473
10 0 0.180000 0.174000 0.000000 0.000000 0.000000 0.987282 -97.058772 -0.997692
10 0 0.186000 0.180000 0.000000 0.000000 0.000000 0.987282 -97.058772 -0.997692
10 0 0.192000 0.186000 0.000000 0.000000 0.000000 0.988419 -97.232014 -0.997890
10 0 0.198000 0.192000 0.000000 0.000000 0.000000 0.988419 -97.232014 -0.997890
10 0 0.204000 0.198000 0.000000 0.000000 0.000000 0.989454 -97.390236 -0.998072
10 0 0.210000 0.204000 0.000000 0.000000 0.000000 0.989454 -97.390236 -0.998072
10 0 0.216000 0.210000 0.000000 0.000000 0.000000 0.990396 -97.534192 -0.998237
10 0 0.222000 0.216000 0.000000 0.000000 0.000000 0.990396 -97.534192 -0.998237
10 0 0.228000 0.222000 0.000000 0.000000 0.000000 0.991254 -97.665041 -0.998387
10 0 0.234000 0.228000 0.000000 0.000000 0.000000 0.991254 -97.665041 -0.998387
10 0 0.240000 0.234000 0.000000 0.000000 0.000000 0.992036 -97.784289 -0.998524
10 0 0.246000 0.240000 0.000000 0.000000 0.000000 0.992036 -97.784289 -0.998524
10 0 0.252000 0.246000 0.000000 0.000000 0.000000 0.992747 -97.893005 -0.998648
10 0 0.258000 0.252000 0.000000 0.000000 0.000000 0.992747 -97.893005 -0.998648
10 0 0.264000 0.258000 0.000000 0.000000 0.000000 0.993396 -97.991945 -0.998762
10 0 0.270000 0.264000 0.000000 0.000000 0.000000 0.993396 -97.991945 -0.998762
10 0 0.276000 0.270000 0.000000 0.000000 0.000000 0.993986 -98.081982 -0.998865
10 0 0.282000 0.276000 0.000000 0.000000 0.000000 0.993986 -98.081982 -0.998865
10 0 0.288000 0.282000 0.000000 0.000000 0.000000 0.994523 -98.164011 -0.998959
10 0 0.294000 0.288000 0.000000 0.000000 0.000000 0.994523 -98.164011 -0.998959
10 0 0.300000 0.294000 0.000000 0.000000 0.000000 0.995013 -98.238741 -0.999045
10 0 0.306000 0.300000 0.000000 0.000000 0.000000 0.995013 -98.238741 -0.999045
10 0 0.312000 0.306000 0.000000 0.000000 0.000000 0.995458 -98.306769 -0.999123
10 0 0.318000 0.312000 0.000000 0.000000 0.000000 0.995458 -98.306769 -0.999123
10 0 0.324000 0.318000 0.000000 0.000000 0.000000 0.995864 -98.368703 -0.999194
10 0 0.330000 0.324000 0.000000 0.000000 0.000000 0.995864 -98.368703 -0.999194
10 0 0.336000 0.330000 0.000000 0.000000 0.000000 0.996234 -98.425117 -0.999258
10 0 0.342000 0.336000 0.000000 0.000000 0.000000 0.996234 -98.425117 -0.999258
10 0 0.348000 0.342000 0.000000 0.000000 0.000000 0.996570 -98.476497 -0.999317
10 0 0.354000 0.348000 0.000000 0.000000 0.000000 0.996570 -98.476497 -0.999317
10 0 0.360000 0.354000 0.000000 0.000000 0.000000 0.996877 -98.523277 -0.999371
10 0 0.366000 0.360000 0.000000 0.000000 0.000000 0.996877 -98.523277 -0.999371
10 0 0.372000 0.366000 0.000000 0.000000 0.000000 0.997156 -98.565873 -0.999420
10 0 0.378000 0.372000 0.000000 0.000000 0.000000 0.997156 -98.565873 -0.999420
10 0 0.384000 0.378000 0.000000 0.000000 0.000000 0.997410 -98.604668 -0.999464
10 0 0.390000 0.384000 0.000000 0.000000 0.000000 0.997410 -98.604668 -0.999464
10 0 0.396000 0.390000 0.000000 0.000000 0.000000 0.997641 -98.639998 -0.999505
10 0 0.402000 0.396000 0.000000 0.000000 0.000000 0.997641 -98.639998 -0.999505
10 0 0.408000 0.402000 0.000000 0.000000 0.000000 0.997852 -98.672167 -0.999542
10 0 0.414000 0.408000 0.000000 0.000000 0.000000 0.997852 -98.672167 -0.999542
10 0 0.420000 0.414000 0.000000 0.000000 0.000000 0.998044 -98.701462 -0.999575
